FID,OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STAr,Shape_STLe,ShapeSTAre,ShapeSTLen,PARK_ID,REGION,TC_ID,Shape_Leng,OBJECTID_1,TC_ID_1,VALUE_0,TC_E_A,TC_Pv_A,TC_Land_A,TC_Pi_A,TC_P_A,TC_E_P,TC_Pv_P,TC_P_P,TC_Pi_P,OBJECTID_2,TC_ID_12,Total_A,Can_A,Grass_A,Soil_A,Water_A,Build_A,Road_A,Paved_A,Perv_A,Imperv_A,Can_P,Grass_P,Soil_P,Water_P,Build_P,Road_P,Paved_P,Perv_P,Imperv_P,Shape__Area,Shape__Length
326,8151,Duffie Square,City of Boston,A97,1,West Roxbury,0.06040139,Stratford Street west of Clement Avenue,Residential District,"Malls, Squares & Plazas",BPRD,Private,X,X,Arthur Duffie Square,BPRD,0,0,2410.94897461,211.719549428,096,PARK_Maintenance_Ground Maintenance,8151,211.719549445,318,8151,0,1245,1120,2408,38,1158,51.7026578073,46.511627907,48.0897009967,1.5780730897,318,8151,2408,1245,1120,0,0,0,5,38,2365,43,51.7026578073,46.511627907,0,0,0,0.207641196013,1.5780730897,98.2142857143,1.78571428571,2410.94885253906,211.719549438267
327,8152,Centre Marsh,Private, ,6,West Roxbury,3.7189119, ,Residential District,Urban Wilds & Natural Areas,NULL, ,N, , , ,0,0,161998.68396,1841.74080683, ,PARK_Maintenance_Ground Maintenance,8152,1841.7408068,319,8152,0,118721,9290,161998,30245,39535,73.2854726602,5.73463869924,24.4046222793,18.66998358,319,8152,161998,118721,9290,665,0,3742,0,29580,128676,33322,73.2854726602,5.73463869924,0.410498895048,0,2.30990506056,0,18.259484685,79.4306102544,20.5693897456,161998.682617188,1841.74080679725
328,8153,St Joseph's Cemetery,Private, ,4,West Roxbury,128.27577258, ,Conservation Protection Subdistrict,Cemeteries & Burying Grounds,NULL, ,N, , , ,0,0,5624021.65991,25581.0429922, ,INFO_Reallocation From Dept,8153,25581.0429922,320,8153,33602,2083359,3030109,5519406,385134,3415243,37.7460726752,54.8991866154,61.8770027065,6.97781609108,320,8153,5589861,2083359,3030109,26775,70455,12819,7985,358359,5210698,379163,37.2703185285,54.2072334178,0.478992232544,1.26040701191,0.229325917049,0.14284791697,6.41087497525,93.2169511907,6.78304880926,5624021.65905762,25581.0429922123
329,8154,Allandale Woods I,City of Boston,A97/WPA,6,West Roxbury,49.58, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,BPRD,BPRD,X,X, ,BPRD,0,0,2159607.38721,13903.2602807,004,PARK_Maintenance_Ground Maintenance,8154,13903.2602807,321,8154,0,2116396,36001,2159155,2187,38188,98.0196419433,1.66736524242,1.7686548673,0.101289624876,321,8154,2159597,2116396,36001,0,442,0,4571,2187,2152839,6758,97.9995804773,1.66702398642,0,0.0204667815338,0,0.211659860613,0.10126889415,99.6870712452,0.312928754763,2159607.38452148,13903.2602806707
330,8155,Allandale Woods III,Private,A97/CR/WPA,6,West Roxbury,16.72, ,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,BCC,Private+BPRD,X,X,Allandale Condo CR, ,0,0,728521.707764,10707.4108185, ,PARK_Maintenance_Ground Maintenance,8155,10707.4108185,322,8155,0,708560,13976,723623,41,14017,97.9183912065,1.93139245159,1.93705838537,0.00566593378044,322,8155,728542,708560,13976,0,4919,0,1046,41,727455,1087,97.2572617639,1.91835199618,0,0.675184134889,0,0.143574426732,0.00562767829446,99.850797895,0.149202105026,728521.708740234,10707.4108184635
331,8156,Bellevue Hill Reservation,Commonwealth of Massachusetts,A97,2,West Roxbury,26.78180477, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X, , ,0,0,1161618.08081,4186.48892741, ,INFO_Reallocation From Dept,8156,4186.48892743,323,8156,2,1068935,18540,1161637,31962,50502,92.019710116,1.59602354264,4.34748548815,2.75146194551,323,8156,1161637,1068935,18540,336,0,20541,21659,31626,1087811,73826,92.019710116,1.59602354264,0.0289246985074,0,1.7682804525,1.86452394337,2.72253724701,93.6446583571,6.35534164287,1161618.07958984,4186.48892743576
332,8157,Praught/Bunker Fields,Private,A97,3,West Roxbury,4.91796284, ,Open Space District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , , ,0,0,214230.27002,2072.02846062, ,INFO_Reallocation From Dept,8157,2072.02846058,324,8157,0,41268,100478,214231,68260,168738,19.2633185673,46.901708903,78.7645112052,31.8628023022,324,8157,214231,41268,100478,12445,0,3807,418,55815,154191,60040,19.2633185673,46.901708903,5.80914993628,0,1.77705374106,0.19511648641,26.0536523659,71.9741774066,28.0258225934,214230.269897461,2072.02846057902
333,8158,West Roxbury H.S. Athletic Fields,City of Boston, ,3,West Roxbury,13.42,Off VFW Pkwy,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,N,X, , ,0,0,584754.097168,4350.46898386,318,PARK_Maintenance_Region 4,8158,4350.46898386,325,8158,0,18510,138952,571566,411560,550512,3.23847114769,24.3107532638,96.3164358972,72.0056826333,325,8158,584758,18510,138952,0,13192,0,2544,411560,170654,414104,3.16541201659,23.7623085105,0,2.25597597639,0,0.435051765004,70.3812517315,29.1836965035,70.8163034965,584754.097045898,4350.46898385997
334,8159,Catholic Memorial H.S. Athltc Fld,Private, ,3,West Roxbury,7.26006285, ,Institutional District,"Parks, Playgrounds & Athletic Fields",NULL, ,N, , , ,0,0,316253.998901,2609.81917058, ,INFO_Reallocation From Dept,8159,2609.81917059,326,8159,0,21862,15951,316252,256353,272304,6.91284165792,5.04376256909,86.1034870926,81.0597245235,326,8159,316252,21862,15951,0,0,21463,623,256353,37813,278439,6.91284165792,5.04376256909,0,0,6.7866764479,0.196994801614,81.0597245235,11.956604227,88.043395773,316253.999389648,2609.8191705937
335,8160,Harvard Medical School Quadrangle,Private, ,1,Fenway/Kenmore,1.71223131, ,Institutional District,"Malls, Squares & Plazas",NULL, ,N,X, , ,0,0,74586.1220703,1227.89668225, ,INFO_Reallocation From Dept,8160,1227.89668227,327,8160,0,18693,42297,74586,13596,55893,25.0623441397,56.7090338669,74.9376558603,18.2286219934,327,8160,74586,18693,42297,0,0,0,0,13596,60990,13596,25.0623441397,56.7090338669,0,0,0,0,18.2286219934,81.7713780066,18.2286219934,74586.1223144531,1227.89668226667
