municipal,acs_year,med_c_r
Cambridge,2014-18,2071.0
Canton,2014-18,1660.0
Carlisle,2014-18,1059.0
Carver,2014-18,1361.0
Charlemont,2014-18,934.0
Charlton,2014-18,1022.0
Chatham,2014-18,1025.0
Chelmsford,2014-18,1478.0
Chelsea,2014-18,1361.0
Cheshire,2014-18,995.0
Chester,2014-18,975.0
Chesterfield,2014-18,1164.0
Chicopee,2014-18,917.0
Chilmark,2014-18,1647.0
Clarksburg,2014-18,928.0
Clinton,2014-18,1144.0
Cohasset,2014-18,1688.0
Colrain,2014-18,959.0
Concord,2014-18,2007.0
Conway,2014-18,1162.0
Cummington,2014-18,857.0
Dalton,2014-18,848.0
Danvers,2014-18,1356.0
Dartmouth,2014-18,925.0
Dedham,2014-18,1614.0
Deerfield,2014-18,951.0
Dennis,2014-18,1177.0
Dighton,2014-18,967.0
Douglas,2014-18,1107.0
Dover,2014-18,2783.0
Dracut,2014-18,1287.0
Dudley,2014-18,971.0
Dunstable,2014-18,1750.0
Duxbury,2014-18,1857.0
East Bridgewater,2014-18,1201.0
East Brookfield,2014-18,1030.0
East Longmeadow,2014-18,930.0
Eastham,2014-18,1196.0
Easthampton,2014-18,983.0
Easton,2014-18,1432.0
Edgartown,2014-18,1774.0
Egremont,2014-18,1132.0
Erving,2014-18,798.0
Essex,2014-18,1128.0
Everett,2014-18,1388.0
Fairhaven,2014-18,921.0
Fall River,2014-18,783.0
Falmouth,2014-18,1241.0
Fitchburg,2014-18,995.0
Florida,2014-18,850.0
Foxborough,2014-18,1428.0
Framingham,2014-18,1359.0
Franklin,2014-18,1250.0
Freetown,2014-18,1238.0
Gardner,2014-18,811.0
Aquinnah,2014-18,1146.0
Georgetown,2014-18,1571.0
Gill,2014-18,950.0
Gloucester,2014-18,1108.0
Goshen,2014-18,1115.0
Gosnold,2014-18,0.0
Grafton,2014-18,1131.0
Granby,2014-18,809.0
Granville,2014-18,1188.0
Great Barrington,2014-18,897.0
Greenfield,2014-18,866.0
Groton,2014-18,1258.0
Groveland,2014-18,1337.0
Hadley,2014-18,1174.0
Halifax,2014-18,1703.0
Hamilton,2014-18,1162.0
Hampden,2014-18,1105.0
Hancock,2014-18,1067.0
Hanover,2014-18,1159.0
Hanson,2014-18,775.0
Hardwick,2014-18,670.0
Harvard,2014-18,1217.0
