FID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape_Leng,Shape__Length
133,Blue Hill Avenue,4935800,2,2,1,2010,BL,98.2930647201,98.2930647289319
134,Norfolk Street,4965300,5,2,0,2017,BL,80.0283539815,80.0283539889236
135,Blue Hill Avenue,6212800,3,2,1,2010,BL,60.7652201372,60.7652201389183
136,Blue Hill Avenue,6219000,3,2,1,2010,BL,74.5349467721,74.5349467720725
137,Blue Hill Avenue,6212400,3,2,1,2010,BL,74.9361169054,74.9361169107571
138,Blue Hill Avenue,6219600,3,2,1,2012,SLM,107.936244388,107.936244396787
139,Blue Hill Avenue,5691100,3,2,1,2012,BL,105.094543003,105.094542999978
140,American Legion Highway,5120600,5,2,1,2008,SLM,110.038378476,110.038378476298
141,American Legion Highway,5689900,5,2,1,2008,SLM,74.5710202316,74.5710202303573
142,Blue Hill Avenue,6278400,3,2,1,2012,BL,22.7545253679,22.7545253715324
143,American Legion Highway,5120800,5,2,1,2008,SLM,137.290205309,137.290205307765
144,Seaver Street,6247400,3,2,1,2016,SLM,228.283216667,228.283216672798
145,Seaver Street,6228700,3,2,1,2016,SUP,31.3474876432,31.3474876432205
146,Massachusetts Avenue,5308700,3,2,0,2016,SBLBL,42.4217359139,42.421735910443
147,Commonwealth Avenue,5456100,3,2,1,2010,BL,163.021636089,163.021636089107
148,Massachusetts Avenue,4503700,3,2,0,2016,SBLBL,42.8899895345,42.8899895344558
149,Boylston Street,5809700,3,2,0,2016,BLSL,90.286852164,90.2868521610439
150,Hereford Street,5269600,5,2,0,2013,BL,45.2746656286,45.2746656372954
151,South Street,5836800,6,2,0,2018,SBL,35.0846742483,35.0846742429334
152,Walnut Entrance,6249200,0,2,0, ,SUP,49.0108991482,49.0108991430156
153,Walnut Entrance,6249300,0,2,0, ,SUP,127.229947203,127.229947198679
154, ,5875900,0, ,0,2021,SBL,45.1834178292,45.1834178288354
